x	y	aper	diag	Ha	Hb	OIII	SII	NIIa	SIIa	SIIb	NII	dens_5000.0	dens_10000.0	dens_30000.0	dens_50000.0	vel
763.2287	87.5274	4.07	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	5.4935255294039086e-17	1.5785809693807512e-17	1.8491455607217922e-17	2.6656473738306257e-17	1.4410795397303525e-17	1.7654800013303827e-17	9.001673725002428e-18	1.9284119716991004e-17	nan	nan	nan	nan	121.52814564687762
558.596	126.6454	4.234	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.4570785773434536e-15	3.5879686202426984e-16	1.0210494666869145e-15	4.12928086870561e-16	3.252292002647685e-16	2.39557395542797e-16	1.7337069132776398e-16	4.3521253757725104e-16	62.785548240504255	67.04974743148651	23.95026619987486	3.562247890262442	159.10831207129203
593.8501	73.2181	3.7836842	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	7.143291288902233e-17	2.146317999201303e-17	1.909262087004209e-17	3.9601820267460804e-17	1.8985542318020562e-17	2.1977883601259873e-17	1.7623936666200934e-17	2.540591694343353e-17	177.2371166960079	226.03519311559793	281.5975883252606	339.09473474593074	111.76650915957808
620.4631	75.9902	2.861	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.7532545680338844e-17	1.0060981150782517e-17	5.124614035768109e-18	2.0045991426340177e-17	9.391628326164464e-18	1.3073596437407285e-17	6.972394988932893e-18	1.2567611987130685e-17	nan	nan	nan	nan	93.28564487900523
394.7094	125.8616	8.0350411	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	2.3298119618090276e-15	6.762986377661154e-16	2.2601834524573847e-15	7.577373962089559e-16	5.9324275276857435e-16	4.555870382664969e-16	3.0215035794245894e-16	7.938607099901723e-16	nan	nan	nan	nan	172.69535738455187
603.8365	131.2549	8.0916198	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.6953988081128865e-15	5.142053966561579e-16	3.330488006546207e-16	7.632594009009972e-16	3.7073811439490353e-16	4.710212944630962e-16	2.9223810643790094e-16	4.961112821697945e-16	nan	nan	nan	nan	122.93741644035977
659.3335	136.3989	2.44	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	4.9049184065395307e-17	1.4341277836904972e-17	1.9263703673489527e-17	2.1057075829766517e-17	1.4156842471985463e-17	1.3011152651936154e-17	8.045923177830363e-18	1.8944287079076388e-17	nan	nan	nan	nan	125.47305602541667
755.1856	97.9078	3.16	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	6.335665858621258e-17	1.5511548325671528e-17	3.027476721242004e-17	2.652230615397086e-17	1.0862843146042113e-17	1.558669095982721e-17	1.0935615194143651e-17	1.453635014028221e-17	31.83997012733622	26.722234481547595	nan	nan	177.0437182607713
939.0859	88.4133	3.198	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.7747385145831413e-17	3.930325582263763e-18	2.0317926816568863e-18	1.2937630110696827e-17	4.153287354227504e-18	7.714319140748203e-18	5.223310969948625e-18	5.557811928477907e-18	nan	nan	nan	nan	108.64876810658623
776.4849	106.146	3.367	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' '']	8.739514965103954e-17	2.7762636965551864e-17	1.899092221552737e-17	3.4089679968787484e-17	1.5040211165639165e-17	2.0709413337931436e-17	1.3380266630856048e-17	2.012638613558283e-17	nan	nan	nan	nan	169.8776154228743
