x	y	aper	diag	Ha	Hb	OIII	SII	NIIa	SIIa	SIIb	NII	dens_5000.0	dens_10000.0	dens_30000.0	dens_50000.0	vel
897.2505	831.435	4.5323052	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	6.088967892948832e-17	1.8481167427716798e-17	3.270057329244595e-17	1.863921297586637e-17	4.1516368523963046e-17	1.1658345315942942e-17	6.980867659923429e-18	5.555603273505819e-17	nan	nan	nan	nan	187.0968841730793
549.7035	827.5662	4.8937248	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	4.0347524592218176e-17	1.1663967709011321e-17	6.062238099640771e-17	1.1003549791807173e-16	1.3004851920301122e-16	5.971875535995872e-17	5.0316742558113027e-17	1.7402725832867858e-16	242.11716794276506	314.90199131128935	425.3300479287735	526.6896684242786	nan
691.00967	812.84563	7.9811871	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.2228102395196691e-15	3.1296516815276437e-16	2.529330837328276e-16	6.93841906779457e-16	8.643235910996362e-16	3.9921799771307145e-16	2.9462390906638556e-16	1.156613437735973e-15	83.4683825107768	95.1912234049912	70.05225445653043	62.785548240504255	124.36586302955234
1310.4549	819.02629	5.0854881	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.2429722548073274e-17	3.403354525697323e-18	6.602343350416329e-17	4.5322947005438516e-17	4.7417451041782264e-17	2.481310671522613e-17	2.0509840290212387e-17	6.345269482733671e-17	216.34710726451544	279.0568774577318	370.14423269042226	450.7994247138622	nan
582.8167	814.66315	8.8703842	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.521293432725201e-16	6.64434784963489e-17	7.523608459222084e-17	1.1266482147568823e-16	1.8143952746924994e-16	6.628612758844576e-17	4.637869388724248e-17	2.427972552969554e-16	30.475278373642023	23.95026619987486	nan	nan	nan
772.2838	827.98251	5.5320191	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.2426751004829394e-16	4.3858158279766046e-17	5.4040198425302614e-17	7.496861906085833e-17	1.0837038452741693e-16	4.437595363105729e-17	3.059266542980104e-17	1.4501819027935795e-16	16.146768263076986	3.562247890262442	nan	nan	152.65044490483265
558.1008	819.8365	4.8229605	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	9.635395566985455e-17	2.6317142106647068e-17	2.605616146549784e-17	3.609312894736968e-17	5.212851612727112e-17	2.229547934249439e-17	1.3797649604875287e-17	6.975690917487388e-17	nan	nan	nan	nan	133.95745319392108
482.8534	802.1644	2.732	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	5.3485899997646606e-17	1.396329813867532e-17	9.108193407851286e-18	6.100864432537746e-17	4.8315915763631646e-17	3.747356250641562e-17	2.3535081818961833e-17	6.465499496275313e-17	nan	nan	nan	nan	118.38141004340122
1050.1755	795.8394	6.3957644	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	3.7678261126877115e-16	7.759716837036074e-17	1.3472428424036002e-16	8.836540696393754e-17	1.8012362730580344e-16	4.891881450998805e-17	3.9446592453949495e-17	2.410363548339415e-16	184.05834503171448	235.6226212252113	297.33506950263336	359.1288689668722	196.88018574590637
423.83007	785.52903	9.8369633	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	3.730245181443474e-16	8.379528370135165e-17	9.975006877854479e-17	1.0511379183887247e-16	1.361250752357444e-16	6.136959597559355e-17	4.3744195863278924e-17	1.8215873412661792e-16	48.27362019663342	48.27362019663342	nan	nan	133.01837677210537
215.56001	778.7007	6.9095284	['SII-NII' 'NII-OIII' '' 'NII-SII-OIII' '']	8.247335278878377e-16	2.2127913185228734e-16	7.157593652093569e-16	4.5934426704187276e-17	1.5958315997613229e-15	2.091165233979751e-17	2.502277436438977e-17	2.1354968112109164e-15	1013.7836977096638	1371.361632497127	2088.609806204046	2696.0439464741175	nan
1228.4184	771.97226	6.2142621	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.9353376963679867e-16	2.6575711294754736e-17	1.713272763701683e-17	8.90187185469991e-17	7.974201538120112e-17	5.184109265106983e-17	3.7177625895929264e-17	1.0670851460239018e-16	53.73883469527926	55.053480449463954	3.562247890262442	nan	103.71287676920997
1190.7352	767.28143	4.0540196	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.690301217824134e-17	1.3395518063597091e-17	6.420550955937663e-17	4.329887068451728e-17	4.09554309478517e-17	2.508129448774485e-17	1.8217576196772423e-17	5.48054019007939e-17	67.04974743148651	73.18921461198543	33.265773171295514	12.689610031679221	221.0256287126078
173.149	757.7216	8.0526229	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.440551787142994e-16	7.672525701284983e-17	1.5127767963934104e-16	1.1251773768698645e-16	8.673778159109854e-17	6.686459968075835e-17	4.5653138006228105e-17	1.160700515185958e-16	6.7233575364993365	nan	nan	nan	130.93128658653094
747.6522	740.39633	4.3243058	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.897141893661559e-17	8.293876678872784e-18	3.593673062475254e-18	3.828356331811842e-17	4.181868954245234e-17	1.8781817960404387e-17	1.9501745357714034e-17	5.596059019026993e-17	612.5734151126721	823.024353045899	1241.234352203518	1588.9683870110664	110.57132916531684
604.2064	746.3089	5.9979275	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.162292039032536e-16	2.731587197278447e-17	7.792960012593461e-17	1.5232558538428744e-16	1.7749278580261567e-16	8.444765711948139e-17	6.787792826480604e-17	2.375158369787373e-16	179.66313659361543	228.61057390671976	288.4864811711818	347.3902152085781	nan
216.7295	760.8297	4.2422849	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.2592153965522004e-16	2.5714134134926587e-17	7.779301989218909e-17	9.770487464880415e-17	1.1700844331252324e-16	4.3571412121841655e-17	5.41334625269625e-17	1.5657739677295404e-16	1156.1660541410258	1558.069484968204	2381.947711069578	3072.3724431682713	152.06667276906305
736.4816	731.3466	5.096764	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.013298297410256e-16	3.536710991927928e-17	1.147544972714428e-16	6.299570218971195e-17	1.1781659749531496e-16	3.6827303346147926e-17	2.6168398843564025e-17	1.576588458936361e-16	45.20353656360243	42.32870270623382	nan	nan	nan
556.7623	739.8161	4.0014501	['SII-NII' 'NII-OIII' '' 'NII-SII-OIII' '']	6.591475670435955e-17	1.8652540086254603e-17	1.7482503589083024e-17	1.6858290851577548e-17	4.464426367933328e-17	7.192313340262713e-18	9.665977511314836e-18	5.97416937603783e-17	1516.275856101239	2043.3597178569416	3123.8504121916276	4020.2014570381025	nan
1181.0919	709.2767	2.446	['' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	3.716609004276346e-17	8.093891900669113e-18	5.49343235204445e-17	3.773462590294166e-18	7.4837120736832e-18	4.073754292165076e-18	-3.002917018709104e-19	1.0014492300917803e-17	nan	nan	nan	nan	220.3826030601021
556.75	731.7153	4.4866727	['SII-NII' 'NII-OIII' 'SII-OIII' '' 'SII-Ha']	7.37493903466333e-18	7.375818503274039e-18	3.7881729314031975e-17	9.371187900331435e-17	8.463213225062521e-17	5.3903328652721725e-17	3.980855035059263e-17	1.1325233099421105e-16	83.4683825107768	96.78616377774233	73.18921461198543	65.59710319611352	nan
820.14276	724.60514	6.474546	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	6.005791925202467e-17	1.4821359797132636e-17	1.3072998223995366e-16	5.350988258402265e-17	6.78660119591301e-17	3.199262313993923e-17	2.1517259444083424e-17	9.081638197288486e-17	nan	nan	nan	nan	nan
803.7634	724.8685	3.7348207	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	5.65382083544243e-17	7.071610716017913e-18	2.2303058315178246e-17	1.8219361532087574e-17	4.143923367147758e-17	1.0683200552966877e-17	7.536160979120698e-18	5.545281305226673e-17	37.11590441103234	33.265773171295514	nan	nan	198.5852109525316
865.81022	718.74521	4.6105714	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	5.001472980941038e-17	1.1200580673834347e-17	9.650960957962919e-17	4.1449277115401e-17	8.660914865447459e-17	2.4463265147849656e-17	1.698601196755134e-17	1.1589791855292559e-16	22.427088116949566	12.689610031679221	nan	nan	nan
1180.6224	693.0391	2.932	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	6.671353019418485e-17	1.260061565643733e-17	2.0399173218935292e-17	2.4128061893785115e-17	3.329147744372472e-17	1.4351580208613805e-17	9.77648168517131e-18	4.4549715604207426e-17	5.283830414338888	nan	nan	nan	132.2728308194205
517.5581	693.8526	3.003	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.7843239221271395e-17	9.00041933086683e-18	2.704424913624124e-17	1.5304535858560535e-17	2.7577933146522084e-17	9.782786270118758e-18	5.521749588441778e-18	3.690401186628581e-17	nan	nan	nan	nan	169.20641068329948
